<<<<<<< HEAD
photo_id,photo_url,photo_image_url,photo_description_clean,photo_location_country,photo_location_city,stats_views,stats_downloads,ai_description_clean,ai_primary_landmark_name,keyword_list,description_source
oSf8ePoG9NU,https://unsplash.com/photos/oSf8ePoG9NU,https://images.unsplash.com/20/frozen-grass.JPG,,,,4296224,30072,black road in between white and brown grass across forest photo during sunset,,"['atmospheric phenomenon', 'flora', 'forest', 'frost', 'grass', 'habitat', 'ice', 'land', 'nature', 'outdoors', 'plant', 'reed', 'reflection', 'shore', 'snow', 'sunlight', 'tree', 'vegetation', 'water']",ai_only
DlsOa5moK4w,https://unsplash.com/photos/DlsOa5moK4w,https://images.unsplash.com/reserve/dRA4UuMBR2K5pxchYcxA_IMG_6965.JPG,fresh blueberries,,,8731049,26411,selective focus of blueberry plant,,"['bush', 'flora', 'flower', 'food', 'fruit', 'grapes', 'green', 'nature', 'plant', 'produce', 'vegetation', 'yellow']",both
XBGacbT3vXI,https://unsplash.com/photos/XBGacbT3vXI,https://images.unsplash.com/photo-1436335231969-f3271f28670d,,,,2224540,19250,calm beach side,,"['beach', 'body of water', 'coast', 'nature', 'ocean', 'outdoors', 'sea', 'shore', 'sky', 'water']",ai_only
FjikPptEbZg,https://unsplash.com/photos/FjikPptEbZg,https://images.unsplash.com/flagged/photo-1441005072573-3a7192272e44,,France,Saint-Étienne-de-Tinée,45536,421,green trees on mountain under white clouds during daytime,,"['abies', 'conifer', 'countryside', 'fir', 'forest', 'green', 'land', 'landscape', 'mountain', 'mountain range', 'nature', 'outdoors', 'peak', 'plant', 'scenery', 'slope', 'tree', 'vegetation', 'wilderness', 'woodland']",ai_only
PXdBkNF8rlk,https://unsplash.com/photos/PXdBkNF8rlk,https://images.unsplash.com/photo-1445966838217-f418f2601b54,icebergs of iceland s vatnajokull,Iceland,,7394191,43442,icebergs floating on body of water during daytime,,"['arctic', 'glacier', 'ice', 'iceberg', 'mountain', 'nature', 'ocean', 'outdoors', 'sea', 'sea ice', 'sea waves', 'snow', 'water', 'wind wave', 'winter']",both
oQmKteV2yBA,https://unsplash.com/photos/oQmKteV2yBA,https://images.unsplash.com/photo-1445384153502-5b921b006ee2,,United States,San Clemente,2811529,9584,man riding bodyboard,,"['bodyboarding', 'nature', 'ocean', 'outdoors', 'sea', 'sea waves', 'sport', 'sports', 'surfboard', 'surfing', 'water', 'wave', 'wind wave']",ai_only
fi9PSKk7UyE,https://unsplash.com/photos/fi9PSKk7UyE,https://images.unsplash.com/photo-1453535397344-2db6bf80862a,furry alley cat,India,Dhotrey,3182633,14482,grey kitten sitting on the doorway,,"['adorable', 'animal', 'brick', 'cat', 'cat like mammal', 'clothing', 'footwear', 'kitten', 'mammal', 'pet', 'shoe', 'small to medium sized cats']",both
0gmYLADpIzA,https://unsplash.com/photos/0gmYLADpIzA,https://images.unsplash.com/photo-1457449390280-f75242d61997,,Canada,Ottawa,2959107,15038,person holding black lighter,,"['candle', 'close up', 'darkness', 'finger', 'fire', 'flame', 'light', 'lighting']",ai_only
NnnsN-cQUSw,https://unsplash.com/photos/NnnsN-cQUSw,https://images.unsplash.com/photo-1456952416974-5fef1191b6f5,man entering ocean,,,2529518,8081,man in ocean,,"['animal', 'beach', 'body of water', 'canine', 'coast', 'dog', 'flood', 'golden retriever', 'human', 'mammal', 'nature', 'ocean', 'outdoors', 'people', 'person', 'pet', 'sea', 'shore', 'water']",both
p1Hlr3fdjTo,https://unsplash.com/photos/p1Hlr3fdjTo,https://images.unsplash.com/photo-1465308452258-70fc6a9b67a8,hill cabin,United Kingdom,Crieff,11294229,35023,gray house in the middle of green grass field,,"['bush', 'desert', 'dirt road', 'field', 'flora', 'geographical feature', 'grassland', 'gravel', 'natural environment', 'nature', 'outdoors', 'plain', 'plant', 'road', 'soil', 'steppe', 'tree', 'vegetation', 'wilderness']",both
jPPHYSez-s4,https://unsplash.com/photos/jPPHYSez-s4,https://images.unsplash.com/photo-1490079311861-9aee24e72929,woman in a sunlit meadow,,,2347494,14391,woman standing of flower field,,"['field', 'flower', 'grassland', 'human', 'meadow', 'people', 'person', 'plant']",both
gtabImSzH-g,https://unsplash.com/photos/gtabImSzH-g,https://images.unsplash.com/photo-1498730716140-fcbe163210cb,,Iceland,Vik,1166702,6023,a paraglider is flying through the clouds in the sky,,"['atmosphere', 'daytime', 'fog', 'mist', 'nature', 'sky', 'weather']",ai_only
5kGjw-8MJeU,https://unsplash.com/photos/5kGjw-8MJeU,https://images.unsplash.com/photo-1499341836733-35fe169ba1c1,cagliari 2017,Italy,,7150336,7281,silhouette of a man,,"['architecture', 'art', 'darkness', 'flooring', 'light', 'lighting', 'modern art', 'shadow', 'silhouette']",both
P_R0TPQ8iPs,https://unsplash.com/photos/P_R0TPQ8iPs,https://images.unsplash.com/photo-1503523258171-3a5244c91dfa,peaks,Italy,,558527,4309,aerial view of mountains covered with clouds,,"['alps', 'arête', 'cloud', 'crest', 'geological phenomenon', 'glacier', 'ice', 'massif', 'mountain', 'mountain range', 'mountainous landforms', 'nature', 'outdoors', 'ridge', 'sky', 'snow']",both
-cKXtsJWU-I,https://unsplash.com/photos/-cKXtsJWU-I,https://images.unsplash.com/photo-1504966981333-1ac8809be1ca,i took this star trail at mabini batangas philippines way back in 2015 it was the first time i took this kind of star trail utilizing the position of the north star polaris at the sky which seems to produce circular path of stars because the earth rotates with polaris right above the rotational axis,Philippines,Mabini,12972363,141842,a star trail over a body of water,,"['astronomical object', 'astronomy', 'atmosphere', 'atmosphere of earth', 'darkness', 'earth', 'galaxy', 'milky way', 'nebula', 'night', 'outdoors', 'outer space', 'phenomenon', 'sky', 'space', 'star', 'universe']",both
x8zEeH7euQI,https://unsplash.com/photos/x8zEeH7euQI,https://images.unsplash.com/photo-1504432001849-e23624c0e78b,game of thrones,,,1984674,13793,bridge covered by snow,,"['alps', 'glacial landform', 'mountain', 'mountain range', 'nature', 'outdoors', 'sky', 'snow', 'suspension bridge', 'tree', 'winter']",both
tLatn4r0nYo,https://unsplash.com/photos/tLatn4r0nYo,https://images.unsplash.com/photo-1506460833468-8a0f90c2e5bb,,,,414705,4164,grayscale photography of ocean,,"['atmosphere', 'black and white', 'calm', 'horizon', 'nature', 'ocean', 'outdoors', 'phenomenon', 'sea', 'sky', 'water', 'wave', 'wind wave']",ai_only
